THỜI KHÓA BIỂU DỰ KIẾN KỲ 20251 - CẬP NHẬT NGÀY 12.09.2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,TDDT,164886,164886,AC4120E,Kỹ xảo điện ảnh,Visual Effects,2(2-1-0-4),CTTT-Đa phương tiện-K67C,1,5,1230-1455,1,3,Chiều,"2-9,11-19",C7-214,NULL,33,NULL,30,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,161657,161657,AC4130E,Lập trình game,Game Programming,2(2-1-0-4),**CTTT-Đa phương tiện-K67C,1,4,1230-1455,1,3,Chiều,"2-9,11-19",C7-133,NULL,15,NULL,30,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,164887,164887,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),CTTT-Đa phương tiện-K67C,1,5,1505-1730,4,6,Chiều,"2-9,11-19",C7-214,TN,18,NULL,30,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,761137,761137,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW_01,1,2,0920-1120,0920,1120,Sáng,"8,11,15",D8-1004,NULL,7,NULL,12,Kết thúc ĐK,TN,AB,ELITECH,
20251,TDDT,761138,761138,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW_02,1,3,0920-1120,0920,1120,Sáng,"8,11,15",D8-1004,NULL,9,NULL,12,Kết thúc ĐK,TN,AB,ELITECH,
20251,TDDT,161654,161654,AC4150E,Tương tác người - máy,Human machine interaction,2(2-1-0-4),**CTTT-Đa phương tiện-K67C,1,3,1230-1455,1,3,Chiều,"2-9,11-19",C7-113,NULL,58,42,60,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,THKHSS,163101,163101,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),Y sinh-K69C,1,6,1230-1455,1,3,Chiều,"2-9,11-19",D4-503,TN,70,60,70,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163102,163102,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),Y sinh-K69C,1,6,1505-1730,4,6,Chiều,"2-9,11-19",D4-504,TN,61,48,70,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,758483,758483,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),YSSD1,1,2,0730-1145,2,6,Sáng,16-18,C10-108,NULL,23,NULL,23,Kết thúc ĐK,TN,AB,CT CHUẨN,
20251,THKHSS,758484,758484,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),YSSD2,1,3,0730-1145,2,6,Sáng,16-18,C10-108,NULL,22,NULL,23,Kết thúc ĐK,TN,AB,CT CHUẨN,
20251,THKHSS,758485,758485,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),YSSD3,1,4,0730-1145,2,6,Sáng,16-18,C10-108,NULL,20,NULL,22,Kết thúc ĐK,TN,AB,CT CHUẨN,
20251,THKHSS,758486,758486,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),YSSD4,1,5,0730-1145,2,6,Sáng,16-18,C10-108,NULL,22,NULL,23,Kết thúc ĐK,TN,AB,CT CHUẨN,
20251,THKHSS,758487,758487,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),YSSD5,1,6,0730-1145,2,6,Sáng,16-18,C10-108,NULL,22,NULL,23,Kết thúc ĐK,TN,AB,CT CHUẨN,
20251,THKHSS,758488,758488,BF1601,Sinh học đại cương,Introductory Biology,3(2-1-1-6),YSSD6,1,7,0730-1145,2,6,Sáng,16-18,C10-108,NULL,22,NULL,23,Kết thúc ĐK,TN,AB,CT CHUẨN,
20251,THKHSS,163472,163472,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67C,1,3,1230-1550,1,4,Chiều,"2-9,11-19",D8-309,NULL,40,30,40,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163473,163473,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67C,1,3,1600-1730,5,6,Chiều,"2-9,11-19",D8-309,NULL,20,NULL,40,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163473,163473,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67C,2,6,1230-1400,1,2,Chiều,"2-9,11-19",D8-309,NULL,20,NULL,40,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163474,163474,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67C,1,6,1410-1730,3,6,Chiều,"2-9,11-19",D8-309,NULL,40,NULL,40,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163475,163475,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67S,1,2,0645-0815,1,2,Sáng,"2-9,11-19",D8-303,NULL,0,NULL,40,Huỷ lớp,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163475,163475,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67S,2,5,1015-1145,5,6,Sáng,"2-9,11-19",D8-301,NULL,0,NULL,40,Huỷ lớp,LT+BT,AB,CT CHUẨN,
20251,THKHSS,163476,163476,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học - Thực phẩm-K67S,1,5,0645-1005,1,4,Sáng,"2-9,11-19",D8-303,NULL,40,30,40,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165128,165128,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 01,02-K70C",1,5,1410-1550,3,4,Chiều,5-20,D5-405,TN,88,NULL,100,Đăng ký,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165129,165129,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 03,04-K70C",1,5,1410-1550,3,4,Chiều,5-20,D6-107,TN,99,NULL,100,Đăng ký,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165142,165142,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 05,06-K70C",1,5,1230-1400,1,2,Chiều,5-20,D5-405,TN,96,NULL,100,Đăng ký,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165143,165143,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 07,08-K70C",1,5,1230-1400,1,2,Chiều,5-20,D6-107,TN,98,NULL,100,Đăng ký,LT+BT,AB,CT CHUẨN,
20251,THKHSS,759259,759259,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M1-K70,1,2,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759260,759260,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M2-K70,1,2,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759261,759261,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M3-K70,1,3,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759262,759262,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M4-K70,1,3,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759263,759263,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M5-K70,1,4,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759264,759264,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M6-K70,1,4,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759265,759265,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M7-K70,1,5,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,3,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759266,759266,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M8-K70,1,5,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759267,759267,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M9-K70,1,6,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,3,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759268,759268,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M10-K70,1,6,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759269,759269,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M11-K70,1,2,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759270,759270,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M12-K70,1,2,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759271,759271,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M13-K70,1,3,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759272,759272,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M14-K70,1,3,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759273,759273,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M15-K70,1,4,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759274,759274,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M16-K70,1,4,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759275,759275,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M17-K70,1,5,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759276,759276,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M18-K70,1,5,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759277,759277,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M19-K70,1,6,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759278,759278,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M20-K70,1,6,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759279,759279,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M21-K70,1,2,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759280,759280,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M22-K70,1,2,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759281,759281,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M23-K70,1,3,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759282,759282,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M24-K70,1,3,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759283,759283,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M25-K70,1,4,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759284,759284,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M26-K70,1,4,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759285,759285,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M27-K70,1,5,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,759286,759286,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M28-K70,1,5,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,15,NULL,15,Đăng ký,TN,AB,CT CHUẨN,
20251,THKHSS,162005,162005,BF2511E,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,1(1-0-1-2),**CTTT Thực phẩm 01-K69S,1,2,1015-1145,5,6,Sáng,"2,4,6,8,11,13,15,17,19",D8-305,TN,21,NULL,35,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,THKHSS,162006,162006,BF2511E,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,1(1-0-1-2),**CTTT Thực phẩm 02-K69S,1,2,0825-1005,3,4,Sáng,"2,4,6,8,11,13,15,17,19",D8-305,TN,26,NULL,35,Kết thúc ĐK,LT+BT,AB,ELITECH,
