THỜI KHÓA BIỂU DỰ KIẾN KỲ 20252 - CẬP NHẬT NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20252,TDDT,168229,168229,AC3010E,Phân tích và thiết kế hệ thống,System analysis and design,2(2-1-0-4),**CTTT-Đa phương tiện-K69C,1,2,1505-1730,4,6,Chiều,"25-32,34-42",C7-228,NULL,38,45,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,168230,168230,AC3010E,Phân tích và thiết kế hệ thống,System analysis and design,2(2-1-0-4),**CTTT-Đa phương tiện-K69C,1,2,1230-1455,1,3,Chiều,"25-32,34-42",C7-228,NULL,46,45,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,170020,170020,AC3030,Phát triển ứng dụng,Application Development,2(2-1-0-4),CN giáo dục - MĐ 2-K68C,1,3,1230-1455,1,3,Chiều,"25-32,34-42",C7-217,NULL,29,30,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,170021,170021,AC3040,Lập trình di động,Mobile Programming,2(2-1-0-4),CN giáo dục - MĐ 2-K68C,1,3,1505-1730,4,6,Chiều,"25-32,34-42",C7-217,NULL,28,30,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,168042,168042,AC4110E,Phân tích và trực quan hóa dữ liệu,Data analysis and visualization,2(2-1-0-4),**CTTT-Đa phương tiện-K68S,1,3,0920-1145,4,6,Sáng,"25-32,34-42",C7-203,NULL,52,60,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,168046,168046,AC4120E,Kỹ xảo điện ảnh,Visual Effects,2(2-1-0-4),**CTTT-Đa phương tiện-K68S,1,4,0920-1145,4,6,Sáng,"25-32,34-42",C7-230,NULL,41,40,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,168044,168044,AC4130E,Lập trình game,Game Programming,2(2-1-0-4),**CTTT-Đa phương tiện-K68S,1,2,0920-1145,4,6,Sáng,"25-32,34-42",C7-213,NULL,32,55,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,168043,168043,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),**CTTT-Đa phương tiện-K68S,1,2,0645-0910,1,3,Sáng,"25-32,34-42",C7-213,TN,39,55,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,765465,765465,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW&DD_01,1,2,1245-1445,1245,1445,Chiều,"28,32,36",D8-1004,NULL,11,12,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,TDDT,765466,765466,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW&DD_02,1,3,1245-1445,1245,1445,Chiều,"28,32,36",D8-1004,NULL,4,12,Điều chỉnh ĐK,TN,AB,ELITECH,
