code,name,duration,credits,tuition_credits,department,prerequisite,english_name,weight
CH4360,Quy hoạch thực nghiệm và phương pháp tối ưu,2(2-1-0-4),2,3,THKHSS,,Experimental Design and Optimization Methods,0.7
CH4361,Nguyên lý chuyển qui mô trong công nghệ hóa học,2(2-1-0-4),2,3,THKHSS,"CH3400, CH3410, CH3420",Scale-up Theory in Chemical Technology,0.7
CH4362,Kỹ thuật hóa học đại cương,3(3-1-0-6),3,4,THKHSS,CH3420,General Chemical Engineering,0.75
CH4363,Lý thuyết tập hợp hạt,2(2-1-0-4),2,3,THKHSS,CH3420,Particle Technology,0.75
CH4364,Ứng dụng tin học trong CNHH,3(3-1-1-6),3,5.5,THKHSS,"(CH3401/CH3400), (CH3411/CH3410)",Applied Informatics in Chemical Engineering,0.75
CH4365,Cơ sở lý thuyết các quá trình trong hệ đa phân tán,2(2-1-0.5-4),2,4,THKHSS,,Fundamentals of Processes in Poly Dispersed Systems,0.75
CH4366,Mô hình điều khiển,2(2-1-0.5-4),2,4,THKHSS,,Models for Automation and Control,0.7
CH4367,Cơ sở kỹ thuật nano,2(2-1-0-4),2,3,THKHSS,"CH3400, CH3410, CH3420",Fundamentals of Nano Technology,0.7
CH4368,Thủy lực và phân riêng hệ không đồng nhất bằng phương pháp cơ học,3(3-1-0-6),3,4,THKHSS,"CH3400, CH3410, CH3420",Fluid Process and Mechanical Separation of Heterogenous Systems,0.7
CH4369,Tính toán thiết kế các hệ chưng đẳng phí và chưng trích ly,2(2-1-0-4),2,3,THKHSS,"CH3400, CH3410, CH3420",Design of Azeotropic and Extractive Distillation Systems,0.7
CH4370,Công nghệ màng,3(3-1-0-6),3,4,THKHSS,"CH3400, CH3410, CH3420",Membrane Technology,0.7
CH4372,Kỹ thuật công trình,2(2-1-0.5-4),2,4,THKHSS,"CH3400, CH3410, CH3420",Process and Plant Technique,0.7
CH4374,Kỹ thuật tách các hỗn hợp nhiều cấu tử,2(2-1-0-4),2,3,THKHSS,,Multi Component Separation Techniques,0.7
CH4376,Kỹ thuật phản ứng,2(2-1-0-4),2,3,THKHSS,"MI1010, CH3010, CH3020",Reaction Engineering,0.7
CH4378,Kỹ thuật hệ thống,2(2-1-0-4),2,3,THKHSS,,System Engineering,0.7
CH4380,Truyền nhiệt và chuyển khối trong hệ phức tạp,3(3-1-0-6),3,4,THKHSS,"CH3400, CH3410, CH3420",Heat and Mass Transfer of Complex Systems,0.7
CH4382,Các phương pháp và công nghệ xử lý phế thải công nghiệp,2(2-1-0-4),2,3,THKHSS,"CH3400, CH3410",Industrial Waste Treatment,0.7
CH4384,Thí nghiệm chuyên ngành,2(2-0-1-4),2,6,THKHSS,"CH3400, CH3410",Advanced Experiments,0.75
CH4386,Thực tập nhận thức,3(0-0-6-12),3,6,THKHSS,,Introductory Practicum,0.75
CH4388,Thực tập kỹ thuật,2(0-0-4-8),2,4,THKHSS,,Engineering Practicum,0.75
CH4390,Đồ án chuyên ngành,2(0-0-4-4),2,4,THKHSS,CH3440,Senior Project,0.7
CH4392,TN chuyên ngành,2(0-0-4-4),2,6,THKHSS,CH3420,Advanced Experiments,0.7
CH4394,Phương pháp tối ưu trong CNHH,2(2-1-0-4),2,3,THKHSS,,Optimization in Chemical Engineering,0.7
CH4396,Kỹ thuật phản ứng,3(3-1-0-6),3,4,THKHSS,CH3060/CH3061,Reaction Engineering,0.7
CH4400,Điều khiển các quá trình công nghệ hóa học,3(3-0-1-6),3,4.5,THKHSS,,Process Control in Chemical Technology,0.7
CH4400E,Thiết bị và điều khiển quá trình,2(2-1-0-4),2,3,THKHSS,,Process Control and Instrumentation,0.7
CH4420,Hóa học gỗ,3(2-1-2-6),3,6,THKHSS,,Chemistry of Wood,0.6
CH4421,Hóa học và hóa lý polyme,2(2-0-1-4),2,3,THKHSS,"CH3220,CH3330",Polymer chemistry and physic,0.7
CH4422,Hóa học Xenluloza,3(2-1-2-6),3,6,THKHSS,,Chemistry of Cellulose,0.6
CH4423,Điều khiển quá trình sản xuất Xenluloza & Giấy,2(1-1-0-4),2,2,THKHSS,,Process Control in Pulp- and Papermaking,0.7
CH4424,Công nghệ sản xuất Xenluloza,3(2-1-2-6),3,6,THKHSS,,Pulping Technology,0.6
CH4425,Công nghệ In đại cương,2(2-0-0-4),2,2,THKHSS,,General Printing Technology,0.75
CH4426,Công nghệ tẩy trắng Xenluloza,3(2-1-2-6),3,6,THKHSS,,Pulp Bleaching Technology,0.6
CH4427,Kỹ thuật sản xuất bao bì,2(2-1-0-4),2,3,THKHSS,"CH4428, CH4430",Packaging Technology,0.75
CH4428,Công nghệ chuẩn bị bột giấy,3(2-1-2-6),3,6,THKHSS,,Stock Preparation,0.6
CH4429,Hóa học phần ướt,2(2-1-0-4),2,3,THKHSS,,Wet-End Chemistry,0.75
CH4430,Công nghệ sản xuất giấy,3(2-1-2-6),3,6,THKHSS,,Papermaking Technology,0.6
CH4431,Công nghệ chế biến giấy loại và khử mực,2(2-1-0-4),2,3,THKHSS,,Fiber Recovery and Deinking,0.75
CH4432,Thiết bị sản xuất giấy và bột giấy,3(3-1-0-6),3,4,THKHSS,,Equipments in Pulp & Paper Technology,0.75
CH4433,Ứng dụng CN sinh học trong Công nghiệp Giấy,2(2-1-0-4),2,3,THKHSS,,Biotechnology in Pulp and Paper Industry,0.75
CH4434,Bảo vệ môi trường trong Công nghiệp Bột giấy & Giấy,2(2-1-0-4),2,3,THKHSS,,Environmental Protection in Pulp & Paper Industry,0.75
CH4435,Sản xuất bột giấy hiệu suất cao,2(2-1-0-4),2,3,THKHSS,,High Yield Pulping,0.75
CH4436,Xử lý bề mặt giấy,2(2-1-0-4),2,3,THKHSS,,Surface Treatment of Paper,0.75
CH4437,Tính chất của giấy và thử nghiệm,2(2-1-0-4),2,3,THKHSS,,Paper Properties & Testing,0.75
CH4438,Đồ án chuyên ngành,2(1-2-0-4),2,4,THKHSS,"CH4424, CH4426, CH4428, CH4430, CH4432",Senior Project,0.5
CH4440,Thực tập nhận thức,3(0-0-6-12),3,6,THKHSS,,Introductory Practicum,0.5
CH4442,Thực tập kỹ thuật,2(0-0-4-8),2,4,THKHSS,"CH4424, CH4426, CH4428, CH4430",Engineering Practicum,0.5
CH4444,TN chuyên ngành,3(0-0-6-6),3,9,THKHSS,,Advanced Experiments,0.6
CH4446,Đồ án chuyên ngành,2(0-0-4-4),2,4,THKHSS,,Senior Project,0.5
CH4450,Hóa học gỗ,2(2-1-0-4),2,3,THKHSS,,Wood Chemistry,0.6
CH4452,Hóa học Xenluloza,2(2-0-0-4),2,2,THKHSS,,Cellulose Chemistry,0.6
CH4454,Công nghệ sản xuất bột giấy,3(3-0-0-6),3,3,THKHSS,,Pulping Technology,0.6
CH4455,Công nghệ sản xuất bột giấy,2(2-1-0-4),2,3,THKHSS,,Pulping Technology,0.7
CH4456,Công nghệ sản xuất giấy,3(3-0-0-6),3,3,THKHSS,,Papermaking Technology,0.7
CH4457,Công nghệ sản xuất giấy,2(2-1-0-4),2,3,THKHSS,,Papermaking Technology,0.7
CH4458,Thiết bị sản xuất bột giấy và giấy,2(2-1-0-4),2,3,THKHSS,,Equipments in Pulp & Paper Technology,0.7
CH4480,Các quá trình cơ bản tổng hợp hữu cơ,2(2-1-0-4),2,3,THKHSS,"CH3220/(CH3200, CH3210)",Fundamental Processes of Organic Chemistry,0.75
CH4481,Phân tích cấu trúc bằng phổ,2(2-1-0-4),2,3,THKHSS,,Structure Analysis by Spectroscopic Methods,0.7
CH4481E,Phân tích cấu trúc bằng phổ,3(3-1-0-6),3,4,THKHSS,,Spectroscopic Identification of Organic Compounds,0.7
CH4482,Hóa học các hợp chất thiên nhiên,2(2-1-0-4),2,3,THKHSS,"CH3220/(CH3200, CH3210)",Chemistry of Natural Products,0.75
CH4483,Hoá học mỹ phẩm & hương liệu,2(2-1-0-4),2,3,THKHSS,,Flavors and Cosmetics Chemistry,0.7
CH4484,Các quá trình cơ bản tổng hợp hóa dược,2(2-1-0-4),2,3,THKHSS,"CH3220/(CH3200, CH3210)",Fundamental Processes of Drug Synthesis,0.75
CH4484E,Tổng hợp hóa dược nâng cao,3(3-1-0-6),3,4,THKHSS,,Advanced Organic Synthesis of Medicinal Compounds,0.7
CH4485,Hoá học cây thuốc & KT chiết xuất,2(2-0-0-4),2,2,THKHSS,,Herb Chemistry and Extraction Techniques,0.75
CH4486,Hóa học bảo vệ thực vật,3(3-1-0-6),3,4,THKHSS,,Pesticide Chemistry,0.75
CH4487,Sản xuất thuốc theo tiêu chuẩn GMP,2(2-0-0-4),2,2,THKHSS,,Good Manufacturing Practicum,0.75
CH4488,KT TH các chất có hoạt tính sinh học,2(2-1-0-4),2,3,THKHSS,"CH3200, CH3210, CH4480, CH4484",Synthesis of Bioactivity Compounds,0.75
CH4490,Cơ sở kỹ thuật bào chế,2(2-1-0-4),2,3,THKHSS,,Drug's formulation Technology,0.75
CH4490E,Cơ sở kỹ thuật bào chế,2(2-1-0-4),2,3,THKHSS,,Basic Pharmaceutics,0.7
CH4491,CN sinh học trong hoá dựoc,2(2-0-0-4),2,2,THKHSS,,Pharmaceutical Biotechnology,0.75
CH4492,Hoá dược & KT tổng hợp 1,3(3-1-0-6),3,4,THKHSS,,Pharmaceutical Chemistry and Synthetic Technology 1,0.75
CH4492E,Hoá dược I,2(2-1-0-4),2,3,THKHSS,,Pharmaceutical Chemistry I,0.7
CH4493,Kỹ thuật gia công thuốc bảo vệ thực vật,2(2-0-0-4),2,2,THKHSS,,Plant Biochemistry,0.75
CH4494,KT tổng hợp các hợp chất bảo vệ thực vật,3(3-1-0-6),3,4,THKHSS,,Synthesis of Pesticides,0.75
CH4495,KT hoá học đại cương,3(3-1-1-6),3,5.5,THKHSS,,General Chemical Engineering,0.75
CH4496,Hoá dược & KT tổng hợp 2,3(3-1-0-6),3,4,THKHSS,,Pharmaceutical Chemistry and Synthetic Technology 2,0.75
CH4496E,Hoá dược II,2(2-1-0-4),2,3,THKHSS,,Pharmaceutical Chemistry II,0.7
CH4497,"Các quá trình cơ bản tổng hợp hữu cơ, hóa dược",3(3-1-0-6),3,4,THKHSS,,Basic synthetic processes in pharmaceutical chemistry,0.7
CH4498,Hoá dược & KT tổng hợp 3,2(2-1-0-4),2,3.5,THKHSS,,Pharmaceutical Chemistry and Synthetic Technology 2,0.75
CH4499,Hóa sinh,2(2-1-0-4),2,3,THKHSS,,Biochemistry,0.7
CH4500,Thí nghiệm chuyên ngành,2(0-0-6-4),2,6,THKHSS,,Advanced Experiments,0.75
CH4500E,Thí nghiệm hóa dược I,2(0-0-4-4),2,6,THKHSS,,Pharmaceutical Chemistry Lab I,0.7
CH4501,Thí nghiệm chuyên ngành hóa dược I,2(0-0-4-4),2,6,THKHSS,,Pharmaceutical chemistry experiments I,0.7
CH4501E,Thí nghiệm hoá dược II,2(0-0-4-4),2,6,THKHSS,,Pharmaceutical Chemistry Lab II,0.7
CH4502,Đồ án môn học chuyên ngành,2(1-2-0-4),2,4,THKHSS,,Senior Project,0.75
CH4502E,Đồ án nghiên cứu,2(0-0-4-4),2,4,THKHSS,,Research Project,0.7
CH4504,Thực tập nhận thức,3(0-0-6-12),3,6,THKHSS,,Introductory Practicum,0.75
CH4506,Thực tập kỹ thuật,2(0-0-4-8),2,4,THKHSS,,Engineering Practicum,0.75
CH4508,Đồ án chuyên ngành,2(0-0-4-4),2,4,THKHSS,"CH4480,CH4484",Senior Project,0.7
CH4510,Hóa dược đại cương,2(2-1-0-4),2,3,THKHSS,,Introductory Pharmaceutical Chemistry,0.7
CH4510E,Hoá dược đại cương,2(2-1-0-4),2,3,THKHSS,,General Pharmaceutical Chemistry,0.7
CH4512,Phân tích cấu trúc bằng phổ,2(2-1-0-4),2,3,THKHSS,CH3220,Structure Analysis by Spectroscopic Methods,0.7
CH4516E,Seminar,3(2-2-0-6),3,4,THKHSS,,Seminar,0.7
CH4517E,Tương quan giữa cấu trúc và hoạt tính,3(3-1-0-6),3,4,THKHSS,,Structure-activity relationship,0.7
CH4558,Thực tập kỹ thuật,2(0-0-4-8),2,4,THKHSS,,Engineering Practicum,0.7
CH4600,Bơm quạt máy nén,2(2-1-0-4),2,3,THKHSS,ME3080,"Pump, Fan, and Compressor",0.75
CH4602,Quá trình và thiết bị thuỷ cơ,4(4-1-1-8),4,6.5,THKHSS,,Hydro mechanical Process Engineering,0.75
CH4602E,Các nguyên lý về kỹ thuật quá trình,2(2-1-0-4),2,3,THKHSS,,Principles of Process Engineering,0.7
CH4604,Máy gia công vật liệu rắn,2(2-1-0-4),2,3,THKHSS,,Solid Material Processing Equipments,0.75
CH4606,Máy gia công vật liệu dẻo,2(2-1-0-4),2,3,THKHSS,"HE2010, ME3080, ME3030, ME3040",Plastic Material Processing Equipments,0.75
CH4608,Cơ sở tính toán máy và thiết bị,4(4-2-0-8),4,6,THKHSS,"ME3010, ME3040, ME3060, ME3090",Fundament of Process and Equipment Design,0.7
CH4610,Quá trình và thiết bị chuyển khối,4(4-1-0.5-8),4,6,THKHSS,,Mass-transfer Process Engineering,0.75
CH4612,Quá trình và thiết bị nhiệt lạnh,4(4-1-0.5-8),4,6,THKHSS,,Thermal Process Engineering,0.75
CH4613,CN hữu cơ hoá dầu,2(2-1-0-4),2,3,THKHSS,"CH3001,CH3011,CH3121,CH3221",Organic and Petrochemical Technology,0.75
CH4614,Quá trình và thiết bị sấy,2(2-0-1-4),2,3.5,THKHSS,,Drying Process Engineering,0.75
CH4615,CN vô cơ điện hoá & silicat,2(2-1-0-4),2,3,THKHSS,,"Inorganic, Electric- and Silicate Chemical Technology",0.75
CH4616,Thiết bị phản ứng,4(4-1-0-8),4,5,THKHSS,,Reaction Engineering and reactor Design,0.75
CH4617,Thiết kế lắp đặt công trình hoá chất,2(2-1-0-4),2,3,THKHSS,,Design and Installation of Chemical Plants,0.75
CH4618,Đồ án môn học,1(1-1-0-3),1,2,THKHSS,,Project,0.75
CH4619,Kỹ thuật đường ống và phụ kiện,2(2-1-0-4),2,3,THKHSS,ME3080,Piping Engineering,0.75
CH4620,Đồ án chuyên ngành,2(2-1-0-4),2,4,THKHSS,,Senior Project,0.75
CH4621,Máy vận chuyển Vật liệu rời,2(2-1-0-4),2,3,THKHSS,,Conveyance Equipments,0.75
CH4622,Thực tập nhận thức,2(0-0-4-8),2,4,THKHSS,,Introductory Practicum,0.75
CH4623,Ứng dụng tin học trong CNHH,2(2-1-0.5-4),2,4,THKHSS,,Applied informatics in Chemical Engineering,0.75
CH4624,Thực tập nhận thức,1(0-0-2-8),1,2,THKHSS,,Introductory Practicum,0.75
CH4625,Tiếng Anh chuyên ngành,2(2-1-0-4),2,3,THKHSS,ME3080,English for Chemical Engineering,0.75
CH4626,Thực tập kỹ thuật,2(0-0-4-8),2,4,THKHSS,,Engineering Practicum,0.75
CH4627,Nhiệt động kỹ thuật,2(2-1-0-4),2,3,THKHSS,,Engineering Thermodynamics,0.75
CH4628,Đồ án chuyên ngành,2(0-0-4-4),2,4,THKHSS,,Senior Project,0.7
CH4629,Chuyên đề,2(2-1-0-4),2,3,THKHSS,,Special Topics,0.75
CH4631,Kỹ thuật an toàn và môi trường,2(2-1-0-4),2,3,THKHSS,,Safety and Environmental Engineering,0.75
CH4633,Công nghệ hàn,2(2-1-0-4),2,3,THKHSS,,Welding Technology,0.75
CH4640,Cơ sở tính toán thiết bị hóa chất,3(3-1-0-6),3,4,THKHSS,,Fundament of Chemical Equipment Design,0.7
CH4642,Cơ sở tính toán máy hóa chất,2(2-1-0-4),2,3,THKHSS,,Fundament of Chemical Process Design,0.7
CH4659,Đồ án chuyên ngành QTTB-Máy hóa chất,2(0-0-4-4),2,4,THKHSS,CH3456,Project of Chemial Engineering and Process Equipment Design,0.7
CH4660,Kỹ thuật sắp chữ dàn trang,2(2-1-0-4),2,3,THKHSS,,Type Setting and Imposition,0.75
CH4661,Các vật liệu in đặc biệt,2(2-1-0-4),2,3,THKHSS,"CH3600, CH3610",Special Printing Materials,0.75
CH4662,Kỹ thuật xử lý ảnh,3(2-1-0-6),3,3,THKHSS,CH3600,Digital Image Processing in Printing,0.75
CH4663,Chuyên đề,2(2-1-0-4),2,3,TVL,,Special Topics,0.75
CH4664,Kỹ thuật xuất dữ liệu và chế khuôn in,3(2-1-1-6),3,4.5,THKHSS,,Image Assembly and Plate Making,0.75
CH4665,Chế khuôn in từ dữ liệu số,2(2-1-0-4),2,3,THKHSS,,Digital Plate Making,0.75
CH4666,Kỹ thuật in I,3(3-1-0-6),3,4,THKHSS,,Printing Process I,0.75
CH4667,Thiết kế một số nhà máy in điển hình,2(2-1-0-4),2,3,THKHSS,,Designing specific printing factories,0.75
CH4668,Kỹ thuật in II,2(2-1-0-4),2,3,THKHSS,,Printing Process II,0.75
CH4669,KT in lưới và in lõm,2(2-1-0-4),2,3,THKHSS,,Screen and Gravure Printing Process,0.75
CH4670,Kỹ thuật và thiết bị gia công sau in,4(4-1-0-8),4,5,THKHSS,"CH3630,CH4662, CH4664, CH4666, CH4668",Finishing and Binding,0.75
CH4671,KT in số,2(2-1-0-4),2,3,TVL,,Digital Printing Process,0.75
CH4672,An toàn lao động và môi trường ngành in,2(2-1-0-4),2,3,TVL,(CH2004/CH3600),Labour Safety and Environment in Printing Industry,0.75
CH4673,Kỹ thuật gia công các loại bao bì,2(2-1-0-6),2,3,THKHSS,"CH3630,CH4662, CH4664, CH4666, CH4668",Package Processing,0.75
CH4674,Tổ chức và quản lý sản xuất in,2(2-1-0-4),2,3,TVL,(CH2004/CH3600),Print Management,0.75
CH4675,Tiêu chuẩn hoá chất lượng in offset,2(2-1-0-4),2,3,THKHSS,,Standardization of Offset Printing,0.75
CH4676,Đồ án môn học,1(0-2-0-4),1,2,THKHSS,,Project,0.75
CH4678,Cơ sở thiết kế nhà máy in,2(2-1-0-4),2,3,THKHSS,CH3600,Fundamentals of Printing Factory Design,0.75
CH4680,Đồ án chuyên ngành,2(1-2-0-6),2,4,THKHSS,CH4678=,Senior Project,0.75
